nl-ams,akamai.amsterdam
jp-tyo-3,akamai.tokyo.2
sg-sin-2,akamai.singapore.2
de-fra-2,akamai.frankfurt.2
in-bom-2,akamai.mumbai.2
au-mel,akamai.melbourne
gb-lon,akamai.london
us-lax,akamai.losangeles
id-cgk,akamai.jakarta
us-mia,akamai.miami
it-mil,akamai.milan
jp-osa,akamai.osaka
in-maa,akamai.chennai
es-mad,akamai.madrid
se-sto,akamai.stockholm
br-gru,akamai.saopaulo
us-sea,akamai.seattle
fr-par,akamai.paris
us-ord,akamai.chicago
us-iad,akamai.washington
ap-southeast,akamai.sydney
ca-central,akamai.toronto
ap-west,akamai.mumbai.1
us-central,akamai.dallas
ap-northeast,akamai.tokyo.1
eu-central,akamai.frankfurt.1
ap-south,akamai.singapore.1
eu-west,akamai.london
us-east,akamai.newyork
us-southeast,akamai.atlanta
us-west,akamai.fremont
