ams,vultr.amsterdam
atl,vultr.atlanta
blr,vultr.bangalore
bom,vultr.mumbai
cdg,vultr.paris
del,vultr.delhi
dfw,vultr.dallas
ewr,vultr.newyork
fra,vultr.frankfurt
hnl,vultr.honolulu
icn,vultr.seoul
itm,vultr.osaka
jnb,vultr.johannesburg
lax,vultr.losangeles
lhr,vultr.london
mad,vultr.madrid
mel,vultr.melbourne
mex,vultr.mexico
mia,vultr.miami
nrt,vultr.tokyo
ord,vultr.chicago
sao,vultr.saopaulo
scl,vultr.santiago
sea,vultr.seattle
sgp,vultr.singapore
sjc,vultr.siliconvalley
sto,vultr.stockholm
syd,vultr.sydney
waw,vultr.warsaw
yto,vultr.toronto
